Sign,ID,Description
,VON,[8228] Reference number assigned by the carrier or his agent to the voyage of the vessel.
,VP,Number assigned by vendor to another manufacturer's product.
,VR,Description to be provided.
,VS,Description to be provided.
,VT,(Reference identifying a motor vehicle used for transport) normally is the vehicle registration number.
,VV,Reference number identifying a voucher.
,WE,Entry number under which imported merchandise was placed in a Customs bonded warehouse.
,WM,Description to be provided.
,WN,A number assigned to a shaft sunk into the ground.
,WR,Self explanatory.
,WS,Self explanatory.
,WY,Self explanatory.
,XA,Company registration and place as legally required.
,XC,Reference used to identify and control a carrier and consignment from initial entry into a country until release of the cargo by Customs.
,XP,Where a consignment is deconsolidated and/or transferred to the control of another carrier or freight forwarder (e.g. housebill abstract) this references the previous (e.g. master) cargo control number.
,ZZZ,Number based on party agreement.
