Sign,ID,ShortDescription,LongDescription
,536,Review date,Date the item was or will be reviewed.
,537,International review cycle start date,Date the international review cycle starts.
,538,International assessment approval for publication date,Date the Data Maintenance Request (DMR) was approved for publication after completing international review.
,539,Status assignment date,Date a status was assigned.
+,541,First published date,Date when material was first published.
+,542,Last published date,Date when material was last published.
+,543,Balance sheet date latest,Date of the latest balance sheet.
+,544,Security share price as of given date,Date of the security share price.
+,545,Assigned date,Date when assigned.
+,546,Business opened date,Date opened for business.
+,547,Initial financial accounts filed date,Date when the initial financial accounts were filed.
+,548,Stop work as of given date,Date work stopped or will stop.
+,549,Completion date,Date of completion.
+,550,Lease term start date,Start date of the lease term.
+,551,Lease term end date,End date of the lease term.
+,552,Start date actual,Actual date of start.
+,553,Start date estimated,Date of estimated start.
+,554,Filed date,Date when filed.
+,555,Return to work date,Date of return to work.
+,556,Purchased date,Date of purchase.
+,557,Returned date,Date return takes place.
+,558,Changed date,Date change takes place.
+,559,Terminated date,Date termination takes place.
+,560,Evaluation date,Date evaluation takes place.
+,561,Business termination date,Date the business terminates.
+,562,Release from bankruptcy date,Date when an entity is released from bankruptcy status.
+,563,Placement date initial,Date of initial placement.
+,564,Signature date,Date of signature.
+,565,Bankruptcy filed date,Date when bankruptcy was filed.
+,566,End date scheduled,Date when activity is scheduled to end.
+,567,Report period,Period covered by the report.
+,568,Suspended date,Date of suspension.
+,569,Renewal date,Date of renewal.
+,570,Reported date,Date when reported.
+,571,Checked date,Date when checked.
+,572,Present residence start date,The beginning date of residence at present location.
+,573,Employment position start date,The start date of employment in a particular position.
+,574,Account closed date,Date when account was closed.
+,575,Construction date actual,Date of actual construction.
+,576,Employment profession start date,Start date of employment in a particular profession.
+,577,Next review date,Date of next review.
+,578,Meeting date,Date of the meeting.
+,579,Administrator ordered date,Date when an administrator is ordered for a company.
+,580,Last date to file a claim,Date after which no claim can be filed.
+,581,Convicted date,Date when convicted.
+,582,Interviewed date,Date of an interview.
+,583,Last visit date,Date of last visit.
+,584,Future period,Period in the future.
+,585,Preceding period,Period preceding current period.
+,586,Expected problem resolution date,Date when problem is expected to be resolved.
+,587,Action date,Date of action.
+,588,Accountant's opinion date,Date of an accountant's opinion.
+,589,Last activity date,Date of last activity.
+,590,Resolved date,Date when resolved.
+,591,Recorded date,Date when recorded.
+,592,Date of birth estimated,The estimated date of birth.
+,593,Last annual report date,Date of the last annual report.
+,594,Net worth date,Date of net worth.
+,596,Profit period,Period over which profit was earned.
+,597,Registration date,Date when registered.
+,598,Consolidation date,Date when consolidation occurred.
+,599,Board of directors not authorised as of given date,As of this date the board of directors is not authorised.
+,600,Board of directors not complete as of given date,As of this date the board of directors is not fully filled.
+,601,Manager not registered as of given date,As of this date the manager is not registered.
+,602,Citizenship change date,Date of citizenship change.
+,603,Participation date,Date of participation.
+,604,Capitalisation date,Date of capitalisation.
+,605,Board of directors registration date,Date when the board of directors was registered.
+,606,Operations ceased date,Date when operations ceased.
+,607,Satisfaction date,Date when satisfaction was obtained.
+,608,Legal settlement terms met date,Date when terms specified in the legal settlement were met.
+,609,Business control change date,Date when a new authority took control.
+,610,Court registration date,Date of registration in the court.
+,611,Annual report due date,Date when annual report is due.
+,612,Asset and liability schedule date,Date of the asset and liability schedule.
+,613,Annual report mailing date,Date when the annual report was mailed.
+,614,Annual report filing date,Date when the annual report was filed.
+,615,Annual report delinquent on date,Date when annual report was considered delinquent.
+,616,Accounting methodology change date,Date when accounting methodology was changed.
+,617,Closed until date,Date when again open.
+,618,Conversion into holding company date,Date business was converted into a holding company.
+,619,Deed not available as of given date,Date when deed was not available.
+,620,Detrimental information receipt date,Date when detrimental information was received.
+,621,Construction date estimated,Estimated date of construction.
+,622,Financial information date,Date of the financial information.
+,623,Graduation date,Date when graduation occurs.
+,624,Insolvency discharge granted date,Date when insolvency discharge was granted.
+,625,Incorporation date,Date of incorporation.
+,626,Inactivity end date,Date when inactivity ends.
+,627,Last check for balance sheet update date,Date balance sheet was last checked to determine if update had taken place.
+,628,Last capital change date,Date of last capital change.
+,629,Letter of agreement date,Date of a letter of agreement.
+,630,Letter of liability date,Date of a letter of liability.
+,631,Liquidation date,Date of liquidation.
+,632,Lowest activity period,Period of lowest activity.
+,633,Legal structure change date,Date when legal structure was changed.
+,634,Current name effective date,Date when current name became effective.
+,635,Not registered as of given date,Date when not yet registered.
+,636,Current authority control start date,Date when current authority took control.
+,637,Privilege details verification date,Date when privilege details were verified.
+,638,Current legal structure effective date,Date when current legal structure became effective.
+,639,Peak activity period,Period of peak activity.
+,640,Presentation to bankruptcy receivers date,Date when presented to the bankruptcy receivers.
+,641,Resignation date,Date of resignation.
+,642,Legal action closed date,Date when the legal action was closed.
+,643,Mail receipt date,Date mail was received.
+,644,Social security claims verification date,Date when social security claims were verified.
+,645,Sole directorship registration date,Date when sole directorship was registered.
+,646,Trade style registration date,Date when trade style was registered.
+,647,Trial start date scheduled,Date when a trial is scheduled to begin.
+,648,Trial start date actual,Date when the trial actually started.
+,649,Value Added Tax (VAT) claims verification date,Date when the Value Added Tax (VAT) claims were verified.
+,651,Investigation end date,The date when an investigation ended.
+,652,Employee temporary laid-off period end date,The ending date of a period in which employees were temporarily placed out of work.
+,653,Investigation start date,The date when an investigation began.
+,654,Income period,The period of time in which income is earned.
+,655,Criminal sentence duration,The period of time over which a criminal sentence applies.
+,656,Age,The length of time that a person or thing has existed.
+,657,Receivables collection period,The period of time over which receivable accounts are collected.
+,658,Comparison period,The time period covered in a comparison.
+,659,Adjournment,The period of time over which an adjournment is in effect.
+,660,Court dismissal date,The date on which a court refused further hearing of a case.
+,661,Insufficient assets judgement date,The date on which assets were judged to be insufficient.
+,662,Average payment period,The average period of time over which money has been paid.
+,663,Forecast period start,The beginning of a forecast period.
+,664,Period extended,Number of time units added to the original end date/time/period.
+,665,Employee temporary laid-off period start date,The start date of a period in which employees were temporarily placed out of work.
+,666,Management available date,Date when management is available.
+,667,Withdrawn date,The date when something was retracted.
+,668,Claim incurred date,The date that the claim was incurred.
+,669,Financial coverage period,The period of time for which financial coverage applies.
+,670,Claim made date,The date on which a claim was made.
+,671,Stop distribution date,The date on which distribution is to stop.
+,672,Period assigned,The period assigned.
+,673,Lease period,The period associated with a lease.
+,674,Forecast period end date,The ending date of a forecast period.
+,675,Judgement date,The date on which a decision from a court of law was rendered.
+,676,Period worked for the company,Period of time that was worked for the company.
+,677,Transport equipment stuffing date and/or time,The date and/or time on which the stuffing of transport equipment is to or has taken place.
+,678,Transport equipment stripping date and/or time,The date and/or time on which the stripping of a transport equipment is to or has taken place.
+,679,Initial request date,Date of an initial request.
+,680,Period overdue,The period by which an event is overdue.
+,681,Implementation date/time/period,A date/time/period within which an implementation is to take place.
+,682,Refusal period,The period within which a refusal can be made.
+,683,Suspension period,The period for which something is suspended.
+,684,Deletion date,The date on which deletion occurs.
+,685,First sale date and/or time and/or period,The first date and/or time and/or period a product was sold.
+,686,Last sale date and/or time and/or period,The last date and/or time and/or period a product was sold.
+,687,Date ready for collection,A date on which an object is ready for collection.
+,688,Shipping date no schedule established as of,As at this date no valid shipping schedule has been established.
+,689,Shipping date and/or time current schedule,Shipping date and/or time as currently scheduled.
+,690,Suppliers' average credit period,The average period of time that credit is extended by suppliers.
