IdNormalized,OrderInCEN,IdSanitized,IdNative,SubOrder,BtOrBg,Index,Level,Cardinality,BusinessTerm,Description,UsageNote,ReqId,SemanticDataType,AttributeFQNForBasicAttributes,AttributeFQNForCodes,AttributeFQN,BTBGClassName
BT-0091,113,BT-91,BT-91,,BT,91,+++,0..1,Debited account identifier,The account to be debited by the direct debit.,,R69,Identifier,java.lang.String,,java.lang.String,BT0091DebitedAccountIdentifier
BT-0092,115,BT-92,BT-92,,BT,92,++,1..1,Document level allowance amount,"The amount of an allowance, without VAT.", ,"R15, R19",Amount,java.lang.Double,,java.lang.Double,BT0092DocumentLevelAllowanceAmount
BT-0093,116,BT-93,BT-93,,BT,93,++,0..1,Document level allowance base amount,"The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount.", ,"R15, R42",Amount,java.lang.Double,,java.lang.Double,BT0093DocumentLevelAllowanceBaseAmount
BT-0094,117,BT-94,BT-94,,BT,94,++,0..1,Document level allowance percentage,"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount.", ,"R15, R42",Percentage,java.lang.Double,,java.lang.Double,BT0094DocumentLevelAllowancePercentage
BT-0095,118,BT-95,BT-95,,BT,95,++,1..1,Document level allowance VAT category code,A coded identification of what VAT category applies to the document level allowance.,"The following entries of UNTDID 5305 [6] are used:
- Liable for VAT in a standard way
- Liable for VAT with a percentage rate of 0 (zero).
- Exempt from VAT/IGIC/IPSI.
- Reverse charge VAT/IGIC/IPSI rules apply.
- VAT/IGIC/IPSI not levied due to Intra-community supply rules.
- VAT/IGIC/IPSI not levied due to export outside of the EU.
- Sale is not subject to VAT/IGIC/IPSI.
- Liable for IGIC (Canary) tax
- Liable for IPSI (Ceuta/Melilla) tax","R15, R16, R45, R48",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,BT0095DocumentLevelAllowanceVatCategoryCode
BT-0096,119,BT-96,BT-96,,BT,96,++,0..1,Document level allowance VAT rate,"The VAT rate, represented as percentage that applies to the document level allowance.", ,"R15, R16, R45, R48",Percentage,java.lang.Double,,java.lang.Double,BT0096DocumentLevelAllowanceVatRate
BT-0097,120,BT-97,BT-97,,BT,97,++,0..1,Document level allowance reason,"The reason for the document level allowance, expressed as text.", ,R15,Text,java.lang.String,,java.lang.String,BT0097DocumentLevelAllowanceReason
BT-0098,121,BT-98,BT-98,,BT,98,++,0..1,Document level allowance reason code,"The reason for the document level allowance, expressed as a code.",Use entries of the UNTDID 5189 code list [6]. The Document level allowance reason code and the Document level allowance reason shall indicate the same allowance reason.,R15,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5189ChargeAllowanceDescriptionCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5189ChargeAllowanceDescriptionCodes,BT0098DocumentLevelAllowanceReasonCode
BT-0099,123,BT-99,BT-99,,BT,99,++,1..1,Document level charge amount,"The amount of a charge, without VAT.", ,"R15, R16, R19",Amount,java.lang.Double,,java.lang.Double,BT0099DocumentLevelChargeAmount
BT-0100,124,BT-100,BT-100,,BT,100,++,0..1,Document level charge base amount,"The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount.", ,"R15, R16, R19",Amount,java.lang.Double,,java.lang.Double,BT0100DocumentLevelChargeBaseAmount
BT-0101,125,BT-101,BT-101,,BT,101,++,0..1,Document level charge percentage,"The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount.", ,"R15, R16, R19",Percentage,java.lang.Double,,java.lang.Double,BT0101DocumentLevelChargePercentage
BT-0102,126,BT-102,BT-102,,BT,102,++,1..1,Document level charge VAT category code,A coded identification of what VAT category applies to the document level charge.,"The following entries of UNTDID 5305 [6] are used:
- Liable for VAT in a standard way
- Liable for VAT with a percentage rate of 0 (zero).
- Exempt from VAT/IGIC/IPSI.
- Reverse charge VAT/IGIC/IPSI rules apply.
- VAT/IGIC/IPSI not levied due to Intra-community supply rules.
- VAT/IGIC/IPSI not levied due to export outside of the EU.
- Sale is not subject to VAT/IGIC/IPSI.
- Liable for IGIC (Canary) tax
- Liable for IPSI (Ceuta/Melilla) tax","R15, R45, R48",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,BT0102DocumentLevelChargeVatCategoryCode
BT-0103,127,BT-103,BT-103,,BT,103,++,0..1,Document level charge VAT rate,"The VAT rate, represented as percentage that applies to the document level charge.", ,"R15, R45, R48",Percentage,java.lang.Double,,java.lang.Double,BT0103DocumentLevelChargeVatRate
BT-0104,128,BT-104,BT-104,,BT,104,++,0..1,Document level charge reason,"The reason for the document level charge, expressed as text.", ,"R15, R16",Text,java.lang.String,,java.lang.String,BT0104DocumentLevelChargeReason
BT-0105,129,BT-105,BT-105,,BT,105,++,0..1,Document level charge reason code,"The reason for the document level charge, expressed as a code.",Use entries of the UNTDID 7161 code list [6]. The Document level charge reason code and the Document level charge reason shall indicate the same charge reason.,"R15, R16",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid7161SpecialServicesCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid7161SpecialServicesCodes,BT0105DocumentLevelChargeReasonCode
BT-0106,131,BT-106,BT-106,,BT,106,++,1..1,Sum of Invoice line net amount,Sum of all Invoice line net amounts in the Invoice., ,R40,Amount,java.lang.Double,,java.lang.Double,BT0106SumOfInvoiceLineNetAmount
BT-0107,132,BT-107,BT-107,,BT,107,++,0..1,Sum of allowances on document level,Sum of all allowances on document level in the Invoice.,Allowances on line level are included in the Invoice line net amount which is summed up into the Sum of Invoice line net amount.,"R19, R40",Amount,java.lang.Double,,java.lang.Double,BT0107SumOfAllowancesOnDocumentLevel
BT-0108,133,BT-108,BT-108,,BT,108,++,0..1,Sum of charges on document level,Sum of all charges on document level in the Invoice.,Charges on line level are included in the Invoice line net amount which is summed up into the Sum of Invoice line net amount.,"R19, R40",Amount,java.lang.Double,,java.lang.Double,BT0108SumOfChargesOnDocumentLevel
BT-0109,134,BT-109,BT-109,,BT,109,++,1..1,Invoice total amount without VAT,The total amount of the Invoice without VAT.,The Invoice total amount without VAT is the Sum of Invoice line net amount minus Sum of allowances on document level plus Sum of charges on document level.,R40,Amount,java.lang.Double,,java.lang.Double,BT0109InvoiceTotalAmountWithoutVat
BT-0110,135,BT-110,BT-110,,BT,110,++,0..1,Invoice total VAT amount,The total VAT amount for the Invoice.,The Invoice total VAT amount is the sum of all VAT category tax amounts.,"R40, R49",Amount,java.lang.Double,,java.lang.Double,BT0110InvoiceTotalVatAmount
BT-0111,136,BT-111,BT-111,,BT,111,++,0..1,Invoice total VAT amount in accounting currency,The VAT total amount expressed in the accounting currency accepted or required in the country of the Seller.,"To be used when the VAT accounting currency (BT-6) differs from the Invoice currency code (BT-5) in accordance with article 230 of Directive 2006/112 / EC on VAT.
The VAT amount in accounting currency is not used in the calculation of the Invoice totals.",R54,Amount,java.lang.Double,,java.lang.Double,BT0111InvoiceTotalVatAmountInAccountingCurrency
BT-0112,137,BT-112,BT-112,,BT,112,++,1..1,Invoice total amount with VAT,The total amount of the Invoice with VAT.,The Invoice total amount with VAT is the Invoice total amount without VAT plus the Invoice total VAT amount. ,"R40, R67",Amount,java.lang.Double,,java.lang.Double,BT0112InvoiceTotalAmountWithVat
BT-0113,138,BT-113,BT-113,,BT,113,++,0..1,Paid amount,The sum of amounts which have been paid in advance.,This amount is subtracted from the invoice total amount with VAT to calculate the amount due for payment.,"R40, R66",Amount,java.lang.Double,,java.lang.Double,BT0113PaidAmount
BT-0114,139,BT-114,BT-114,,BT,114,++,0..1,Rounding amount,The amount to be added to the invoice total to round the amount to be paid.,,R40,Amount,java.lang.Double,,java.lang.Double,BT0114RoundingAmount
BT-0115,140,BT-115,BT-115,,BT,115,++,1..1,Amount due for payment,The outstanding amount that is requested to be paid.,This amount is the Invoice total amount with VAT minus the paid amount that has been paid in advance. The amount is zero in case of a fully paid Invoice. The amount may be negative; in that case the Seller owes the amount to the Buyer.,"R40, R59, R68",Amount,java.lang.Double,,java.lang.Double,BT0115AmountDueForPayment
BT-0116,142,BT-116,BT-116,,BT,116,++,1..1,VAT category taxable amount,Sum of all taxable amounts subject to a specific VAT category code and VAT category rate (if the VAT category rate is applicable).,The sum of Invoice line net amount minus allowances plus charges on document level which are subject to a specific VAT category code and VAT category rate (if the VAT category rate is applicable).,R50,Amount,java.lang.Double,,java.lang.Double,BT0116VatCategoryTaxableAmount
BT-0117,143,BT-117,BT-117,,BT,117,++,1..1,VAT category tax amount,The total VAT amount for a given VAT category.,Calculated by multiplying the VAT category taxable amount with the VAT category rate for the relevant VAT category.,R49,Amount,java.lang.Double,,java.lang.Double,BT0117VatCategoryTaxAmount
BT-0118,144,BT-118,BT-118,,BT,118,++,1..1,VAT category code,Coded identification of a VAT category.,"The following entries of UNTDID 5305 [6] are used:
- Liable for VAT in a standard way
- Liable for VAT with a percentage rate of 0 (zero).
- Exempt from VAT/IGIC/IPSI.
- Reverse charge VAT/IGIC/IPSI rules apply.
- VAT/IGIC/IPSI not levied due to Intra-community supply rules.
- VAT/IGIC/IPSI not levied due to export outside of the EU.
- Sale is not subject to VAT/IGIC/IPSI.
- Liable for IGIC (Canary) tax
- Liable for IPSI (Ceuta/Melilla) tax","R38, R45, R49",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,BT0118VatCategoryCode
BT-0119,145,BT-119,BT-119,,BT,119,++,0..1,VAT category rate,"The VAT rate, represented as percentage that applies for the relevant VAT category.",The VAT category code and the VAT category rate shall be consistent.,"R38, R49",Percentage,java.lang.Double,,java.lang.Double,BT0119VatCategoryRate
BT-0120,146,BT-120,BT-120,,BT,120,++,0..1,VAT exemption reason text,A textual statement of the reason why the amount is exempted from VAT or why no VAT is being charged,Articles 226 items 11 to 15 Directive 2006/112/EN,"R48, R49, R51",Text,java.lang.String,,java.lang.String,BT0120VatExemptionReasonText
BT-0121,147,BT-121,BT-121,,BT,121,++,0..1,VAT exemption reason code,A coded statement of the reason for why the amount is exempted from VAT.,Code list issued and maintained by the Connecting Europe Facility.,"R48, R49, R51",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.VatExemptionReasonsCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.VatExemptionReasonsCodes,BT0121VatExemptionReasonCode
BT-0122,149,BT-122,BT-122,,BT,122,++,1..1,Supporting document reference,An identifier of the supporting document., ,R36,Document reference,java.lang.String,,java.lang.String,BT0122SupportingDocumentReference
BT-0123,150,BT-123,BT-123,,BT,123,++,0..1,Supporting document description,A description of the supporting document.,"Such as: timesheet, usage report etc.",R36,Text,java.lang.String,,java.lang.String,BT0123SupportingDocumentDescription
BT-0124,151,BT-124,BT-124,,BT,124,++,0..1,External document location,The URL (Uniform Resource Locator) that identifies where the external document is located.,"A means of locating the resource including its primary access mechanism, e.g. http:// or ftp://.
External document location shall be used if the Buyer requires additional information to support the Invoice.
External documents do not form part of the invoice. Risks can be involved when accessing external documents.",R36,Text,java.lang.String,,java.lang.String,BT0124ExternalDocumentLocation
BT-0125,152,BT-125,BT-125,a,BT,125,++,0..1,Attached document,An attached document embedded as binary object or sent together with the invoice.,"Attached document is used when documentation shall be stored with the Invoice for future reference or audit purposes.
",R35,Binary Object,Binary,,Binary,BT0125AttachedDocument
BT-0125,152,BT-125,BT-125,b,BT,125,,1..1,Attached document Mime code and Attached document Filename,The mime code of the attached document and the file name of the attached document,"Allowed mime codes:
- application/pdf
- image/png
- image/jpeg
- text/csv
- application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
- application/vnd.oasis.opendocument. spreadsheet",,Binary Object,Binary,,Binary,BT0125AttachedDocumentMimeCodeAndAttachedDocumentFilename
BT-0126,154,BT-126,BT-126,,BT,126,++,1..1,Invoice line identifier,A unique identifier for the individual line within the Invoice.,,R44,Identifier,java.lang.String,,java.lang.String,BT0126InvoiceLineIdentifier
BT-0127,155,BT-127,BT-127,,BT,127,++,0..1,Invoice line note,A textual note that gives unstructured information that is relevant to the Invoice line., ,R28,Text,java.lang.String,,java.lang.String,BT0127InvoiceLineNote
BT-0128,156,BT-128,BT-128,a,BT,128,++,0..1,Invoice line object identifier,"An identifier for an object on which the invoice line is based, given by the Seller.","It may be a subscription number, telephone number, meter point etc., as applicable. ",R33,Identifier,java.lang.String,,java.lang.String,BT0128InvoiceLineObjectIdentifier
BT-0128,156,BT-128,BT-128,b,BT,128,,0..1,Scheme identifier,The identification scheme identifier of the Invoice line object identifier.,"If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.",,Scheme Identifier,Identifier,,Identifier,BT0128SchemeIdentifier
BT-0129,157,BT-129,BT-129,,BT,129,++,1..1,Invoiced quantity,The quantity of items (goods or services) that is charged in the Invoice line., ,"R39, R56",Quantity,java.lang.Double,,java.lang.Double,BT0129InvoicedQuantity
BT-0131,159,BT-131,BT-131,,BT,131,++,1..1,Invoice line net amount,The total amount of the Invoice line.,"The amount is “net” without VAT, i.e. inclusive of line level allowances and charges as well as other relevant taxes.","R39, R40, R56",Amount,java.lang.Double,,java.lang.Double,BT0131InvoiceLineNetAmount
BT-0132,160,BT-132,BT-132,,BT,132,++,0..1,Referenced purchase order line reference,"An identifier for a referenced line within a purchase order, issued by the Buyer.",The purchase order identifier is referenced on document level.,R6,Document reference,java.lang.String,,java.lang.String,BT0132ReferencedPurchaseOrderLineReference
BT-0133,161,BT-133,BT-133,,BT,133,++,0..1,Invoice line Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,"If required, this reference shall be provided by the Buyer to the Seller prior to the issuing of the Invoice.",R3,Text,java.lang.String,,java.lang.String,BT0133InvoiceLineBuyerAccountingReference
BT-0134,163,BT-134,BT-134,,BT,134,+++,0..1,Invoice line period start date,The date when the Invoice period for this Invoice line starts.,The date is the first day of the period.,R30,Date,java.time.LocalDate,,java.time.LocalDate,BT0134InvoiceLinePeriodStartDate
BT-0135,164,BT-135,BT-135,,BT,135,+++,0..1,Invoice line period end date,The date when the Invoice period for this Invoice line ends.,The date is the last day of the period.,R30,Date,java.time.LocalDate,,java.time.LocalDate,BT0135InvoiceLinePeriodEndDate
BT-0136,166,BT-136,BT-136,,BT,136,+++,1..1,Invoice line allowance amount,"The amount of an allowance, without VAT.", ,"R15, R19",Amount,java.lang.Double,,java.lang.Double,BT0136InvoiceLineAllowanceAmount
BT-0137,167,BT-137,BT-137,,BT,137,+++,0..1,Invoice line allowance base amount,"The base amount that may be used, in conjunction with the Invoice line allowance percentage, to calculate the Invoice line allowance amount.", ,"R15, R42",Amount,java.lang.Double,,java.lang.Double,BT0137InvoiceLineAllowanceBaseAmount
BT-0138,168,BT-138,BT-138,,BT,138,+++,0..1,Invoice line allowance percentage,"The percentage that may be used, in conjunction with the Invoice line allowance base amount, to calculate the Invoice line allowance amount.", ,"R15, R42",Percentage,java.lang.Double,,java.lang.Double,BT0138InvoiceLineAllowancePercentage
BT-0139,169,BT-139,BT-139,,BT,139,+++,0..1,Invoice line allowance reason,"The reason for the Invoice line allowance, expressed as text.", ,R15,Text,java.lang.String,,java.lang.String,BT0139InvoiceLineAllowanceReason
BT-0140,170,BT-140,BT-140,,BT,140,+++,0..1,Invoice line allowance reason code,"The reason for the Invoice line allowance, expressed as a code.",Use entries of the UNTDID 5189 code list [6]. The Invoice line level allowance reason code and the Invoice line level allowance reason shall indicate the same allowance reason.,R15,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5189ChargeAllowanceDescriptionCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5189ChargeAllowanceDescriptionCodes,BT0140InvoiceLineAllowanceReasonCode
BT-0141,172,BT-141,BT-141,,BT,141,+++,1..1,Invoice line charge amount,"The amount of a charge, without VAT.", ,R19,Amount,java.lang.Double,,java.lang.Double,BT0141InvoiceLineChargeAmount
BT-0142,173,BT-142,BT-142,,BT,142,+++,0..1,Invoice line charge base amount,"The base amount that may be used, in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge amount.", ,R42,Amount,java.lang.Double,,java.lang.Double,BT0142InvoiceLineChargeBaseAmount
BT-0143,174,BT-143,BT-143,,BT,143,+++,0..1,Invoice line charge percentage,"The percentage that may be used, in conjunction with the Invoice line charge base amount, to calculate the Invoice line charge amount.", ,R42,Percentage,java.lang.Double,,java.lang.Double,BT0143InvoiceLineChargePercentage
BT-0144,175,BT-144,BT-144,,BT,144,+++,0..1,Invoice line charge reason,"The reason for the Invoice line charge, expressed as text.", ,R18,Text,java.lang.String,,java.lang.String,BT0144InvoiceLineChargeReason
BT-0145,176,BT-145,BT-145,,BT,145,+++,0..1,Invoice line charge reason code,"The reason for the Invoice line charge, expressed as a code.",Use entries of the UNTDID 7161 code list [6]. The Invoice line charge reason code and the Invoice line charge reason shall indicate the same charge reason.,R18,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid7161SpecialServicesCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid7161SpecialServicesCodes,BT0145InvoiceLineChargeReasonCode
BT-0146,178,BT-146,BT-146,,BT,146,+++,1..1,Item net price,"The price of an item, exclusive of VAT, after subtracting item price discount.",The Item net price has to be equal with the Item gross price less the Item price discount.,R14,Unit price amount,java.lang.Double,,java.lang.Double,BT0146ItemNetPrice
BT-0147,179,BT-147,BT-147,,BT,147,+++,0..1,Item price discount,The total discount subtracted from the Item gross price to calculate the Item net price.,Only applies if the discount is provided per unit and if it is not included in the Item gross price.,R14,Unit price amount,java.lang.Double,,java.lang.Double,BT0147ItemPriceDiscount
BT-0148,180,BT-148,BT-148,,BT,148,+++,0..1,Item gross price,"The unit price, exclusive of VAT, before subtracting Item price discount.", ,R14,Unit price amount,java.lang.Double,,java.lang.Double,BT0148ItemGrossPrice
BT-0149,181,BT-149,BT-149,,BT,149,+++,0..1,Item price base quantity,The number of item units to which the price applies., ,R14,Quantity,java.lang.Double,,java.lang.Double,BT0149ItemPriceBaseQuantity
BT-0151,184,BT-151,BT-151,,BT,151,+++,1..1,Invoiced item VAT category code,The VAT category code for the invoiced item.,"The following entries of UNTDID 5305 [6] are used:
- Liable for VAT in a standard way
- Liable for VAT with a percentage rate of 0 (zero).
- Exempt from VAT/IGIC/IPSI.
- Reverse charge VAT/IGIC/IPSI rules apply.
- VAT/IGIC/IPSI not levied due to Intra-community supply rules.
- VAT/IGIC/IPSI not levied due to export outside of the EU.
- Sale is not subject to VAT/IGIC/IPSI.
- Liable for IGIC (Canary) tax
- Liable for IPSI (Ceuta/Melilla) tax","R37, R45, R48",Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Untdid5305DutyTaxFeeCategories,BT0151InvoicedItemVatCategoryCode
BT-0152,185,BT-152,BT-152,,BT,152,+++,0..1,Invoiced item VAT rate,"The VAT rate, represented as percentage that applies to the invoiced item.",,"R37, R45, R48",Percentage,java.lang.Double,,java.lang.Double,BT0152InvoicedItemVatRate
BT-0153,187,BT-153,BT-153,,BT,153,+++,1..1,Item name,A name for an item., ,"R20, R56",Text,java.lang.String,,java.lang.String,BT0153ItemName
BT-0154,188,BT-154,BT-154,,BT,154,+++,0..1,Item description,"A description for an item.
",The Item description allows for describing the item and its features in more detail than the Item name.,"R20, R56",Text,java.lang.String,,java.lang.String,BT0154ItemDescription
BT-0155,189,BT-155,BT-155,,BT,155,+++,0..1,Item Seller's identifier,"An identifier, assigned by the Seller, for the item.",,"R21, R56",Identifier,java.lang.String,,java.lang.String,BT0155ItemSellerSIdentifier
BT-0156,190,BT-156,BT-156,,BT,156,+++,0..1,Item Buyer's identifier,"An identifier, assigned by the Buyer, for the item.",,"R21, R56",Identifier,java.lang.String,,java.lang.String,BT0156ItemBuyerSIdentifier
BT-0157,191,BT-157,BT-157,a,BT,157,+++,0..1,Item standard identifier,An item identifier based on a registered scheme.,,"R23, R56",Identifier,java.lang.String,,java.lang.String,BT0157ItemStandardIdentifier
BT-0157,191,BT-157,BT-157,b,BT,157,,1..1,Scheme identifier,The identification scheme identifier of the Item standard identifier,The identification scheme shall be identified from the entries of the list published by the ISO 6523 maintenance agency.,,Scheme Identifier,Identifier,,Identifier,BT0157SchemeIdentifier
BT-0158,192,BT-158,BT-158,a,BT,158,+++,0..n,Item classification identifier,A code for classifying the item by its type or nature.,"Classification codes are used to allow grouping of similar items for a various purposes e.g. public procurement (CPV), e-Commerce (UNSPSC) etc. ",R24,Identifier,java.lang.String,,java.lang.String,BT0158ItemClassificationIdentifier
BT-0158,192,BT-158,BT-158,b,BT,158,,1..1,Scheme identifier and Scheme version identifier,The identification scheme identifier of the Item classification identifier and The version of the identification scheme.,The identification scheme shall be chosen from the entries in UNTDID 7143 [6].,,Scheme Identifier,Identifier,,Identifier,BT0158SchemeIdentifierAndSchemeVersionIdentifier
BT-0159,193,BT-159,BT-159,,BT,159,+++,0..1,Item country of origin,The code identifying the country from which the item originates.,"The lists of valid countries are registered with the ISO 3166‑1 Maintenance agency, ""Codes for the representation of names of countries and their subdivisions"". ",R29,Code,,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso31661CountryCodes,it.infocert.eigor.model.it.infocert.eigor.model.core.enums.Iso31661CountryCodes,BT0159ItemCountryOfOrigin
BT-0160,195,BT-160,BT-160,,BT,160,++++,1..1,Item attribute name,The name of the attribute or property of the item.,"Such as ""Colour"".",R28,Text,java.lang.String,,java.lang.String,BT0160ItemAttributeName
BT-0161,196,BT-161,BT-161,,BT,161,++++,1..1,Item attribute value,The value of the attribute or property of the item.,"Such as ""Red"".",R28,Text,java.lang.String,,java.lang.String,BT0161ItemAttributeValue
BT-0162,41,BT-162,BT-162,,BT,162,+++,0..1,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line., ,R53,Text,java.lang.String,,java.lang.String,BT0162SellerAddressLine3
BT-0163,60,BT-163,BT-163,,BT,163,+++,0..1,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line., ,R53,Text,java.lang.String,,java.lang.String,BT0163BuyerAddressLine3
BT-0164,79,BT-164,BT-164,,BT,164,+++,0..1,Tax representative address line 3,An additional address line in an address that can be used to give further details supplementing the main line., ,R53,Text,java.lang.String,,java.lang.String,BT0164TaxRepresentativeAddressLine3
BT-0165,94,BT-165,BT-165,,BT,165,+++,0..1,Deliver to address line 3,An additional address line in an address that can be used to give further details supplementing the main line., ,R32,Text,java.lang.String,,java.lang.String,BT0165DeliverToAddressLine3
